Reference,Title,Release,Shelf Date,Specs,Genre
ID3377LI,Lawnmower Man 2: Jobe's War,1996,1996-06-26,LBX/SRD,Sci-Fi
75896,Lawnmower Man,1992,1992-08-26,P&S/SRD/+CAV/Uncut,Sci-Fi
79626,Lawrence of Arabia,1986,1994-03-30,LBX/SRD,Drama
FH106-35KD,Legend of the Eight Samurai,1984,1984-05-21,LBX/ANA,Action
LVD9266,Lensman,1984,1993-03-31,Bilingual,Anime
12371,Lethal Weapon,1987,1992-04-08,LBX/SRD,Action
ML101707,Leviathan,1989,1990,LBX/SRD,Sci-Fi
ID3867PG,Loch Ness,1995,1997-05-14,LBX/SRD,Family
ML100454,The Long Riders,1980,,P&S/ANA,Western
20615,Losin' It,1982,1984,P&S/ANA,Comedy
43310,The Lost World: Jurassic Park,1997,1997-11-04,LBX/AC3/THX,Sci-Fi
4585-80,Love & Death,1975,1983,P&S/ANA,Comedy
13167,Love Affair,1994,1995-04-11,LBX/SRD,Romance
11181,Mad Max 2: The Road Warrior,1981,1991-08-28,P&S/SRD,Action
13345,Mad Max Beyond Thunderdome,1985,1994-06-29,LBX/SRD,Action
CC1425L,Magic Flute,1975,1995-12-20,,Musical
LV26182,Malicious,1995,1995-11-07,P&S/SRD,Thriller
11100LV,Mame,1974,1984,P&S/ANA,Musical
ML103016,Man I Love/The Hard Way,1943,1996-07-03,,Drama
ID8090IV,Maniac Cop 2,1990,1991-09-13,LBX/SRD/+CAV,Horror
41261,Martial Law 2: Undercover,1992,1992-08-27,SRD,Action
OPA-37-603,Maze Mania,1982,1982,ANA/CAV,Game
ID5146,The Mean Season,1985,,P&S/ANA,Crime
MLV 49079,Meat Loaf: Hits Out of Hell,1991,1993-12-14,,Music
VL6009,Meatballs,1979,1982,P&S/ANA,Comedy
10-031,Melvin and Howard,1980,1981,P&S/ANA,Comedy
ID6292ME,Messenger of Death,1988,,P&S/SRD,Action
ML102475,MGM/UA Home Video Laserdisc Sampler,1990,1990,,Documentary
10-034,Missing,1982,1982,P&S/ANA,Drama
PILA-1139A,Moldiver: vol.1 Metamorforce,1993,1994-06-01,Bilingual/CAV,Anime
PILA-1140A,Moldiver: vol.2 Overzone,1993,1994-06-29,Bilingual/CAV,Anime
PILA-1141A,Moldiver: vol.3 Longing,1993,1994-07-27,Bilingual/CAV,Anime
PILA-1142A,Moldiver: vol.4 Destruction,1993,1994-09-07,Bilingual/CAV,Anime
PILA-1143A,Moldiver: vol.5 Intruder,1993,1994-09-28,Bilingual/CAV,Anime
ID2289LI,Mr. Saturday Night,1992,1993-03-31,P&S/SRD/+CAV,Comedy
8588-85,Mrs. Doubtfire,1993,1994-04-27,LBX/SRD/+CAV/THX,Comedy
V-MD-82-001,MysteryDisc #1: Murder Anyone?,1982,1982,ANA/CAV,Game
LV 32100,"Naked Gun, The: From the Files of Police Squad!",1988,1989,P&S,Comedy
IVE5193,National Geographic: Ballad of the Irish Horse,1985,1988,,Documentary
ID7816HB,Night Game,1989,,,Thriller
40391,No Man of Her Own: Encore Edition,1932,1987-04,ANA/+CAV,Drama
ML102693,Of Mice and Men,1992,1993-03-03,LBX/SRD,Drama
43859,Out of Sight: Signature Collection,1998,1999-01-05,LBX/AC3/+CAV,Thriller
13632,Outbreak,1995,1995-08-08,LBX/AC3/+CAV,Sci-Fi
ID7332VE,Paint It Black,1989,1990,P&S/SRD,Horror
8759 AS,Pallbearer,1996,1996-11-27,LBX/SRD,Comedy
LV13001,Parasite,1982,1993-03-25,P&S,Horror
30125,Pardon Mon Affaire,1976,,P&S/ANA,Romance
ID6126IV,Praise the Lord & Pass the Ammo,1988,,SRD,Comedy
12989,The Pelican Brief,1993,1994-06-29,LBX/SRD,Crime
52616,Philadelphia,1993,1994-07-27,LBX/SRD,Drama
LV 32036,"Planes, Trains and Automobiles",1987,1988,SRD,Comedy
16-027,Private Lessons,1981,1982,P&S/ANA,Comedy
35010,Punchline,1988,1989,P&S/SRD/ANA,Comedy
41735,Quantum Leap: Color of Truth/Camikazi Kid,1989,1993-09-29,,TV Series
12004,Quick Change,1990,1991-02-27,P&S/SRD,Comedy
LV1486-2,Ragtime,1981,,P&S/ANA,Musical
ML101648,Rain Man,1988,1989,SRD,Drama
91226,Relentless 2: Dead On,1992,1992-02-27,P&S/SRD,Crime
71096,The Remains of the Day,1993,1994-06-01,LBX/SRD,Drama
699 AS,Return to Snowy River,1988,1988,P&S/SRD,Western
51576,A River Runs Through It,1992,1993-05-19,LBX/SRD,Western
42241,River Wild,1994,1995-03-21,LBX/SRD/THX,Western
ML101776,Road House,1989,,LBX/SRD,Action
CC1485L,The Rock,1996,1997-06-18,LBX/AC3/+CAV/THX,Action
1358-85,Romancing the Stone,1984,1993-09-29,LBX/SRD,Drama
LV 6809-2,Romeo & Juliet,1968,1982,P&S/ANA,Drama
ID6633IV,Rooftops,1989,,,Musical
12061,The Rookie,1990,1991-08-21,LBX/SRD/+CAV,Crime
080 575-1,Rush: A Show of Hands,1988,,,Music
082 765-1,Rush: Chronicles,1990,1992-05-19,,Music
ML102229,The Russia House,1990,1991-08-07,LBX/SRD,Drama
LV 33043-2WS,Sabrina,1995,1996-06-11,LBX/AC3,Romance
LV 335363-WS,The Saint,1997,1997-10-28,LBX/AC3/THX,Action
CC1375L,Sansho the Bailiff: Special Edition: Criterion #223,1954,1994-11-02,+CAV,Action
LV23598,Scanners III: The Takeover,1991,1992-05-14,P&S,Sci-Fi
LV26172,Scanners IV: The Showdown,1995,1995-05-16,P&S/SRD,Sci-Fi
41546,Scent of a Woman,1992,1993-08-04,LBX/SRD,Romance
13571,Second Best,1994,1995-04-04,LBX/SRD,Drama
0414685,The Secret Agent,1996,1997-06-04,LBX/SRD,Action
40637,The Secret of my Success,1987,1988-01,P&S/SRD,Drama
CC1212L,"Seventh Seal, The: Criterion #10A",1957,1990,,Arthouse
SS098-0018,SFX Museum: vol.3 C.G.I. in SFX,1985,1985-04-21,ANA/Bilingual/CAV,Documentary
42197,The Shadow,1994,1995-01-24,LBX/SRD,Action
LV 1423,Shogun,1980,1982,ANA,Drama
ID7434OR,The Silence of the Lambs,1991,1991-11-27,SRD,Horror
